|A|,|M(A)|,|M(A)A|,|M(B)|,|M(B)B|
390,1,0,1,0
2163,1,0,1,1
1967,1,0,1,1
702,2,0,1,0
2254,1,1,1,1
476,1,1,1,0
161,1,0,1,0
1940,1,0,1,0
2004,1,1,2,2
1864,1,1,1,1
2504,1,0,1,0
2003,1,0,1,1
450,1,0,1,0
1466,1,0,1,1
1851,1,1,1,0
1509,1,0,1,0
650,1,0,1,1
901,1,1,1,0
2472,1,1,2,1
2478,1,0,1,1
2053,1,0,1,0
1179,1,0,1,0
295,1,0,1,0
659,1,0,1,0
2122,1,1,1,1
2459,1,0,1,1
1403,1,0,1,1
281,1,0,3,1
1541,1,1,1,0
1509,1,1,1,1
2258,1,0,1,0
1332,1,1,2,1
9,3,0,1,0
2386,1,0,1,0
2432,1,1,1,1
1534,2,1,1,0
1672,1,0,1,0
1366,1,0,1,0
1745,1,1,1,0
739,1,0,1,0
309,1,0,1,0
1638,1,1,1,0
586,1,0,1,0
2154,1,1,1,0
82,3,0,1,0
991,1,0,1,1
601,1,0,1,1
573,1,0,1,0
1118,1,0,1,0
269,1,0,1,0
1009,1,1,1,1
2480,1,1,1,1
757,1,0,1,0
445,1,0,1,0
1977,2,0,1,1
124,1,0,2,0
625,1,0,1,0
482,1,0,2,1
1876,1,0,1,1
2092,1,0,1,0
1507,1,1,1,1
302,4,2,1,1
1152,1,0,2,1
151,2,0,2,1
1547,1,1,1,1
393,1,0,1,0
1880,1,0,1,1
698,2,1,1,0
780,1,1,1,0
1382,1,0,2,1
