n,|M(A)|,|M(A)A|,|M(B)|,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
10,17,0,17,0,17,0,0,0
10,100,0,100,0,100,0,0,0
10,27,0,27,0,27,0,0,0
10,30,0,30,0,30,0,0,0
10,12,0,12,0,12,0,0,0
10,71,0,71,0,71,0,0,0
10,12,0,12,1,12,0,0,0
10,12,0,12,0,12,0,0,0
10,6,0,6,0,6,0,0,0
10,174,0,174,0,174,0,0,0
10,6,0,6,0,6,0,0,0
10,60,0,60,0,60,0,0,1
10,6,0,6,0,6,0,1,0
10,21,0,21,0,21,0,0,0
10,39,0,39,0,39,0,1,2
10,98,0,98,0,98,0,0,0
10,30,0,30,0,30,0,1,0
10,580,0,580,1,580,1,0,0
10,40,0,40,0,40,0,0,0
10,6,0,6,0,6,0,0,0
10,6,0,6,0,6,0,0,0
10,42,0,42,0,42,0,0,0
