n,|M(A)|,D_ktA,|M(A)A|
11,655,64,0
11,135,74,0
11,17,69,0
11,34,64,1
11,4400,77,0
11,72,64,0
11,535,81,0
11,1502,65,0
11,128,62,0
11,136,49,0
11,1016,70,1
11,912,75,0
11,4,66,0
11,84,46,0
11,162,62,0
11,122,51,0
11,165,80,0
11,1155,77,0
11,760,65,0
11,59,71,0
11,1936,78,0
11,58,68,0
11,68,56,0
11,420,57,0
11,430,74,0
11,28,64,0
11,128,79,0
11,18,53,0
11,791,66,0
11,18,43,0
11,210,68,0
11,81,70,0
11,858,71,0
11,24,50,0
11,249,58,0
11,88,61,0
11,302,72,0
11,96,67,0
11,45,62,0
11,203,81,0
11,54,66,0
11,426,52,0
11,302,77,0
11,99,82,0
11,206,68,0
11,372,70,0
11,9,63,0
11,5908,81,1
11,81,52,0
11,86,78,0
11,573,66,0
11,82,72,0
11,18,74,0
11,1507,72,0
11,46,68,0
11,642,56,0
11,77,83,0
11,51,52,1
11,524,77,0
11,35,65,0
11,114,72,0
11,360,71,0
11,108,63,0
11,40,56,0
11,300,66,0
11,92,67,1
11,166,63,0
11,252,64,0
11,9,73,0
11,570,71,0
11,348,64,0
11,27,55,0
11,93,67,0
11,4,69,0
11,21,66,0
11,24,24,1
11,100,63,0
11,1782,76,0
11,744,64,0
11,72,69,0
11,3,72,0
11,84,74,0
11,38,63,0
11,3,66,0
11,188,67,0
11,714,77,1
11,1888,68,0
11,148,75,0
