n,|M(A)|,|M(A)A|,|M(B)|,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
14,4,0,4,0,4,0,0,1,
14,48,0,48,0,48,1,0,0,
14,30,0,30,0,30,0,0,0,
14,8,0,8,0,8,0,1,0,
14,12,0,12,0,12,0,0,1,
14,4,0,4,0,4,0,0,0,
14,8,0,8,0,8,0,0,1,
14,3,0,3,0,3,0,0,0,
14,21,0,21,0,21,0,0,0,
14,6,0,6,0,6,0,0,0,
14,108,0,108,0,108,0,0,0,
14,18,0,18,0,18,0,0,0,
14,135,0,135,0,135,0,0,0,
14,4,0,4,1,4,0,1,1,
14,4,0,4,0,4,1,1,0,
14,12,0,12,0,12,0,0,0,
14,12,0,12,0,12,0,0,0,
14,8,0,8,0,8,0,0,0,
14,10,0,10,0,10,0,0,0,
14,6,0,6,0,6,0,0,0,
14,36,0,36,0,36,0,0,0,
14,12,0,12,0,12,0,0,0,
14,8,0,8,1,8,0,1,1,
14,3,0,3,1,3,0,0,0,
14,1,0,1,0,1,0,0,0,
14,252,0,252,0,252,0,0,0,
14,3,0,3,0,3,1,0,0,
14,32,0,32,0,32,1,0,0,
14,8,0,8,0,8,0,0,0,
14,6,0,6,0,6,0,0,0,
14,8,0,8,0,8,1,0,0,
14,4,0,4,0,4,0,0,0,
14,8,0,8,0,8,0,0,1,
14,12,0,12,0,12,0,0,0,
14,12,0,12,0,12,0,0,1,
14,36,0,36,0,36,0,0,0,
14,2,0,2,0,2,0,0,0,
14,4,0,4,0,4,0,0,0,
14,6,0,6,0,6,0,0,0,
14,18,0,18,0,18,0,0,1,
14,3,0,3,0,3,0,0,0,
14,12,0,12,0,12,1,0,0,
14,24,0,24,0,24,0,0,0,
14,162,0,162,0,162,0,0,1,
14,24,0,24,0,24,0,0,0,
14,6,0,6,0,6,0,0,0,
14,24,0,24,0,24,0,0,1,
14,96,0,96,0,96,0,0,0,
14,108,0,108,0,108,0,0,0,
14,12,0,12,0,12,1,0,0,
