n,|M(A)|,|M(A)A|,|M(B)|,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))
12,2,0,2,1,2,0,0,1
12,4,0,4,0,4,0,0,0
12,12,0,12,1,12,0,0,2
12,2,0,2,1,2,0,0,0
12,2,0,2,0,2,0,0,0
12,1,0,1,1,1,0,0,1
12,6,0,6,0,6,0,0,4
12,12,0,12,0,12,0,0,4
12,2,0,2,0,2,0,0,0
12,4,0,4,0,4,0,0,0
12,2,0,2,0,2,0,0,2
12,3,0,3,0,3,0,0,0
12,8,0,8,0,8,1,1,0
12,6,0,6,0,6,0,0,0
12,1,0,1,0,1,0,0,1
12,6,0,6,0,6,1,0,0
12,12,0,12,0,12,0,0,0
12,2,0,2,1,2,0,1,1
12,8,0,8,1,8,0,1,2
12,4,0,4,1,4,0,0,1
12,12,0,12,0,12,0,0,0
12,2,0,2,0,2,0,0,2
12,8,0,8,0,8,0,0,0
12,18,0,18,1,18,0,0,6
12,18,0,18,1,18,0,0,0
12,2,0,2,0,2,0,0,2
12,2,0,2,0,2,0,0,0
12,4,0,4,0,4,0,0,2
12,9,0,9,0,9,0,0,0
12,8,0,8,0,8,0,1,0
12,1,0,1,0,1,0,0,0
12,6,0,6,0,6,0,0,0
12,2,0,2,0,2,0,0,0
12,2,0,2,0,2,1,0,1
12,2,0,2,0,2,0,0,0
12,4,0,4,0,4,0,0,4
12,2,0,2,0,2,0,0,0
12,2,0,2,0,2,0,1,1
12,4,0,4,0,4,0,0,2
12,2,1,2,0,2,1,0,2
12,1,1,1,1,1,0,0,0
12,4,0,4,0,4,0,0,4
12,16,0,16,0,16,0,0,2
12,2,0,2,0,2,0,0,0
12,15,0,15,1,15,0,0,3
12,1,0,1,0,1,0,0,1
12,1,0,1,0,1,0,0,0
12,1,0,1,0,1,0,0,1
12,2,0,2,0,2,0,0,0
12,1,0,1,1,1,0,1,1
