n,|M(A)|,D_ktA,|M(A)A|
14,7,68,0
14,5,69,0
14,1,49,0
14,3,74,0
14,4,72,0
14,4,74,0
14,1,66,0
14,3,82,0
14,20,85,0
14,1,62,0
14,25,66,0
14,1,66,0
14,3,66,0
14,3,44,0
14,9,82,0
14,1,57,0
14,3,67,0
14,3,65,0
14,1,62,0
14,5,71,0
14,1,61,0
14,1,62,0
14,1,46,0
14,2,86,0
14,1,58,0
14,7,60,0
14,1,59,0
14,1,40,0
14,2,62,0
14,3,55,0
14,1,68,0
14,4,57,0
14,1,63,0
14,1,59,0
14,5,71,0
14,2,65,0
14,4,83,0
14,1,86,0
14,3,63,0
14,3,54,0
14,2,71,0
14,27,45,0
14,3,53,0
14,2,79,0
14,1,82,0
14,1,56,0
14,1,63,0
14,11,86,0
14,25,74,0
14,3,65,0
14,1,69,0
14,1,62,0
14,3,71,0
14,3,37,0
14,1,42,0
14,3,48,0
14,7,64,0
14,1,59,0
14,2,50,0
14,3,61,0
14,2,70,0
14,1,54,0
14,17,83,0
14,1,40,0
14,3,49,0
14,1,58,0
14,4,68,0
14,1,79,0
14,17,83,0
14,6,69,0
14,3,67,0
14,15,66,0
14,1,79,0
14,3,94,0
14,3,70,0
14,3,72,0
14,21,85,0
14,1,82,0
14,7,60,0
14,2,59,0
14,1,72,0
14,15,65,0
14,1,75,0
14,3,55,0
14,1,76,0
14,1,52,0
14,4,56,0
14,1,64,0
14,1,46,0
14,2,61,0
14,6,48,0
14,1,64,0
14,1,56,0
14,2,62,0
14,2,74,0
14,2,71,0
14,1,70,0
14,1,63,0
14,9,68,0
14,9,72,0
