n,|A|,|B|,|M(A)|,D_ktA,|M(A)A|,|M(B)|,D_ktB,|M(B)B|,|M(AUB)|,D_ktaub,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
13,5,2,3,103,0,198432,42,2,12,161,0,0,0
13,5,2,1,113,0,17772,32,2,1,164,0,0,0
13,5,2,4,133,0,160750,41,2,4,203,0,0,0
13,5,2,3,109,0,23520,34,2,1,161,0,0,0
13,5,2,1,109,0,12812,34,2,3,179,0,0,0
13,5,2,6,130,0,353160,39,2,1,202,0,0,0
13,5,2,12,128,0,1474,18,2,3,160,0,0,0
13,5,2,1,95,0,13956,32,2,1,137,0,0,0
13,5,2,1,133,0,632,15,2,1,165,0,0,0
13,5,2,2,121,0,67482,37,2,8,177,0,0,0
13,5,2,3,107,0,25910,33,2,2,163,0,0,0
13,5,2,2,138,0,1059,25,2,1,172,0,0,0
13,5,2,1,119,0,147040,41,2,18,178,0,0,0
13,5,2,3,118,0,40197,37,2,2,175,0,0,0
13,5,2,6,133,0,55200,37,2,1,208,0,0,0
13,5,2,3,122,0,350460,48,2,4,174,0,0,2
13,5,2,8,106,0,87976,38,2,3,169,0,0,0
13,5,2,3,140,0,160,13,2,1,203,0,0,0
13,5,2,1,119,0,83208,35,2,2,185,0,0,0
13,5,2,3,125,0,7187,27,2,4,174,0,0,0
13,5,2,1,92,0,44506,34,2,1,139,0,0,0
13,5,2,1,96,0,116208,37,2,1,183,0,0,0
