n,|A|,|B|,|M(A)|,D_ktA,|M(A)A|,|M(B)|,D_ktB,|M(B)B|,|M(AUB)|,D_ktaub,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
12,6,5,132,108,0,1,59,0,1,192,0,0,0
12,6,5,28,109,0,2,101,0,1,250,0,0,0
12,6,5,403,145,0,1,102,0,5,288,0,0,0
12,6,5,5,132,0,1,108,0,3,282,0,0,0
12,6,5,3,128,0,3,112,0,2,283,0,0,0
12,6,5,90,142,0,1,90,0,1,264,0,0,0
12,6,5,3,110,0,3,101,0,2,234,0,0,0
12,6,5,512,144,0,2,129,0,2,294,0,0,0
12,6,5,53,149,0,4,95,0,3,262,0,0,0
12,6,5,32,126,0,5,108,0,1,253,0,0,0
12,6,5,456,128,0,3,99,0,1,256,0,0,0
12,6,5,36,130,0,3,112,0,2,269,0,0,0
12,6,5,346,139,0,1,100,0,2,252,0,0,0
12,6,5,1,111,0,1,69,0,3,229,0,0,0
12,6,5,718,119,0,1,110,0,1,247,0,0,0
12,6,5,4,137,0,3,92,0,2,278,0,0,0
12,6,5,4,137,0,1,109,0,3,279,0,0,0
12,6,5,242,136,0,3,92,0,4,252,0,0,0
12,6,5,87,125,0,3,93,0,1,236,0,0,0
12,6,5,72,114,0,4,105,0,3,266,0,0,0
12,6,5,46,119,0,1,85,0,1,223,0,0,0
12,6,5,24,127,0,3,116,0,2,266,0,0,0
12,6,5,174,146,1,1,104,0,1,270,0,0,0
12,6,5,392,152,0,9,117,0,9,292,0,0,0
12,6,5,52,100,0,3,99,0,2,216,0,0,0
12,6,5,32,112,0,3,95,0,1,243,0,0,0
12,6,5,204,128,0,3,80,0,2,229,0,0,0
12,6,5,12,133,0,6,92,0,3,239,0,0,0
12,6,5,12,128,0,3,79,0,1,228,0,0,0
12,6,5,45,143,0,9,105,0,1,293,0,0,0
12,6,5,96,121,0,1,104,0,1,252,0,0,0
12,6,5,457,128,0,4,115,0,6,267,0,0,0
12,6,5,6120,123,0,4,111,0,2,250,0,0,2
12,6,5,62,143,0,28,104,0,1,257,0,0,0
12,6,5,8,93,0,3,70,0,1,194,0,0,0
12,6,5,118,122,0,2,101,0,4,243,0,0,0
12,6,5,168,132,0,1,100,0,3,242,0,0,0
12,6,5,6,139,0,12,118,0,4,284,0,0,0
12,6,5,184,111,0,5,98,0,1,220,0,0,0
12,6,5,72,133,0,1,110,0,10,263,0,0,0
12,6,5,120,117,0,1,93,0,1,229,0,0,0
12,6,5,337,147,0,1,72,0,1,240,0,0,0
12,6,5,16,137,0,4,91,0,2,273,0,0,0
12,6,5,4,137,0,3,118,0,1,290,0,0,0
12,6,5,68,143,0,4,107,0,3,282,0,0,0
12,6,5,368,131,1,1,83,0,3,232,0,0,0
12,6,5,24,113,0,1,99,0,4,227,0,0,0
12,6,5,48,120,0,6,103,0,3,242,0,0,0
12,6,5,96,124,0,4,111,0,1,276,0,0,0
12,6,5,38,134,0,1,83,0,1,229,0,0,0
12,6,5,26,131,0,1,106,0,1,257,0,0,0
