n,|M(A)|,|M(A)A|,|M(B)|,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
10,432,0,432,0,432,0,0,1
10,104,0,104,0,104,0,0,0
10,34,0,34,0,34,0,0,0
10,16,0,16,0,16,0,0,0
10,9,0,9,0,9,0,0,0
10,36,0,36,0,36,0,0,0
10,232,0,232,0,232,0,0,0
10,45,0,45,0,45,0,0,0
10,10,0,10,0,10,0,0,0
10,1910,0,1910,0,1910,0,0,0
10,156,0,156,0,156,0,0,0
10,19,0,19,0,19,0,0,0
10,17,0,17,0,17,0,0,0
10,21,0,21,0,21,0,0,0
10,51,0,51,0,51,0,0,0
10,20,0,20,0,20,0,0,0
10,38,0,38,0,38,0,0,2
10,63,0,63,0,63,0,0,0
10,4,0,4,1,4,0,0,0
10,8,0,8,0,8,0,0,0
10,120,0,120,0,120,0,0,0
10,54,0,54,0,54,0,0,0
10,28,0,28,0,28,1,0,0
10,13,0,13,0,13,0,0,0
10,148,0,148,0,148,0,0,0
10,11,0,11,0,11,0,0,0
10,4,0,4,0,4,0,0,0
10,10,0,10,0,10,0,0,0
10,11,0,11,0,11,0,0,0
10,45,0,45,0,45,0,1,1
10,12,0,12,0,12,0,0,0
10,336,0,336,0,336,0,0,0
10,120,0,120,0,120,0,0,0
10,124,0,124,1,124,0,0,0
10,12,0,12,0,12,0,0,0
10,105,0,105,0,105,0,0,1
10,20,0,20,0,20,0,0,0
10,2,0,2,0,2,0,0,0
10,105,0,105,0,105,0,0,0
10,8,0,8,0,8,0,0,0
10,16,0,16,0,16,0,0,1
10,6,0,6,0,6,0,0,0
10,30,0,30,0,30,0,0,0
10,27,0,27,0,27,0,0,0
10,24,0,24,0,24,0,0,0
10,27,0,27,0,27,1,0,0
10,56,0,56,0,56,0,0,0
10,3,0,3,0,3,0,0,0
10,21,0,21,0,21,0,0,0
10,16,0,16,0,16,0,0,0
10,54,0,54,0,54,0,0,0
10,12,0,12,0,12,0,0,0
10,216,0,216,0,216,0,0,0
10,48,0,48,0,48,0,0,0
10,12,0,12,0,12,0,0,0
10,22,0,22,0,22,0,0,0
10,2,0,2,0,2,0,0,0
10,27,0,27,0,27,0,0,0
10,18,0,18,0,18,0,0,0
10,20,0,20,0,20,0,0,0
10,3,0,3,0,3,0,0,0
10,120,0,120,0,120,0,0,0
10,9,0,9,0,9,0,0,0
10,12,0,12,0,12,0,0,0
10,18,0,18,0,18,0,0,0
10,3,0,3,0,3,0,0,0
10,178,0,178,0,178,0,0,0
10,21,0,21,0,21,0,0,0
10,48,0,48,0,48,0,0,0
10,740,0,740,0,740,0,0,0
10,16,0,16,0,16,0,0,0
10,2,0,2,0,2,0,0,0
10,34,0,34,0,34,0,0,0
10,222,0,222,0,222,0,0,0
10,96,0,96,0,96,0,0,0
10,4,0,4,0,4,0,0,0
10,12,0,12,0,12,0,0,0
10,7,0,7,0,7,0,0,0
10,36,0,36,0,36,0,0,0
10,63,0,63,0,63,0,0,0
10,50,0,50,0,50,0,0,0
10,161,0,161,0,161,0,0,0
10,184,0,184,0,184,0,0,0
10,123,0,123,0,123,0,0,0
10,80,0,80,0,80,0,1,2
10,42,0,42,0,42,0,0,0
10,16,0,16,0,16,1,0,0
10,27,0,27,0,27,0,0,0
10,34,0,34,0,34,0,0,0
10,42,0,42,0,42,0,0,0
10,1,0,1,0,1,0,0,0
10,299,0,299,0,299,0,0,0
10,21,0,21,0,21,0,0,0
10,4,0,4,1,4,0,0,0
10,68,0,68,0,68,0,0,0
10,4,0,4,0,4,0,0,0
10,15,0,15,0,15,0,0,0
10,12,0,12,0,12,0,0,0
10,366,0,366,0,366,0,0,1
10,6,0,6,0,6,0,0,0
