n,|A|,|B|,|AB|,|M(A)|,D_ktA,|M(A)A|,|M(B)|,D_ktB,|M(B)B|,|M(AUB)|,D_ktaub,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
6,3,2,0,1,14,0,20,7,2,3,24,0,1,2
6,3,2,0,1,12,0,84,10,2,1,23,0,0,1
6,3,2,0,1,13,1,30,9,2,1,28,0,0,1
6,3,2,0,1,8,0,25,7,2,1,18,0,0,0
6,3,2,0,1,9,0,30,9,2,1,25,0,0,0
6,3,2,0,3,12,0,16,5,2,1,22,1,0,0
6,3,2,0,1,9,1,24,7,2,3,26,1,0,1
6,3,2,0,1,13,0,60,10,2,1,23,0,0,1
6,3,2,0,1,11,0,70,10,2,2,25,0,0,1
6,3,2,0,1,13,0,45,10,2,1,27,0,0,1
6,3,2,0,1,12,0,4,2,2,1,23,0,0,0
6,3,2,0,3,14,0,180,12,2,1,30,0,0,0
6,3,2,0,1,8,0,10,5,2,1,22,0,0,0
6,3,2,0,2,17,1,9,5,2,2,29,0,1,1
6,3,2,0,1,16,0,28,8,2,2,28,0,1,1
6,3,2,0,1,13,0,40,8,2,3,23,0,0,3
6,3,2,0,1,6,0,9,5,2,1,23,0,0,0
6,3,2,0,1,8,1,10,6,2,3,27,0,0,0
6,3,2,0,3,10,0,14,6,2,1,19,0,0,1
6,3,2,0,3,10,1,11,5,2,1,28,0,0,0
6,3,2,0,3,11,1,25,7,2,2,28,0,0,0
6,3,2,0,3,12,0,84,10,2,5,29,1,0,1
6,3,2,0,3,9,0,18,6,2,1,17,0,0,1
6,3,2,0,1,14,0,27,7,2,3,25,0,1,2
6,3,2,0,1,9,0,60,9,2,3,29,0,0,0
6,3,2,0,1,13,0,30,8,2,3,28,1,0,0
6,3,2,0,5,17,1,30,9,2,1,28,0,0,1
6,3,2,0,1,10,0,18,6,2,1,29,0,0,0
6,3,2,0,3,13,0,26,8,2,1,23,0,1,1
6,3,2,0,1,15,0,10,5,2,1,22,0,0,1
6,3,2,0,1,13,0,18,7,2,2,24,0,0,2
6,3,2,0,1,12,0,27,7,2,3,22,0,1,3
6,3,2,0,1,16,0,120,12,2,1,30,0,0,1
6,3,2,0,1,13,0,30,8,2,1,27,0,0,0
6,3,2,0,1,16,0,6,5,2,1,26,0,0,1
6,3,2,0,1,11,1,120,12,2,1,25,1,0,1
6,3,2,0,1,13,0,150,12,2,1,29,0,0,1
6,3,2,0,1,10,0,26,8,2,1,22,0,0,1
6,3,2,0,1,12,1,72,10,2,3,24,2,0,3
6,3,2,0,1,7,0,11,5,2,1,17,1,0,0
6,3,2,0,3,11,0,84,10,2,1,23,0,0,1
6,3,2,0,1,11,1,15,6,2,1,23,0,0,0
6,3,2,0,1,10,0,75,11,2,3,23,0,0,3
6,3,2,0,1,11,0,18,7,2,1,26,0,0,0
6,3,2,0,1,11,1,84,10,2,1,21,1,0,1
6,3,2,0,3,7,1,6,4,2,1,16,0,0,0
6,3,2,0,1,14,0,48,9,2,1,25,0,0,1
6,3,2,0,1,12,0,90,11,2,1,23,0,1,1
6,3,2,0,3,16,0,28,7,2,1,27,0,0,1
6,3,2,0,1,8,1,6,3,2,1,21,1,0,0
6,3,2,0,1,9,0,60,11,2,1,25,0,0,0
6,3,2,0,1,8,1,180,13,2,1,25,1,0,1
6,3,2,0,1,10,0,52,9,2,1,26,0,0,0
6,3,2,0,3,11,0,8,4,2,1,24,0,0,0
6,3,2,0,1,8,0,54,10,2,1,22,0,0,1
6,3,2,0,1,8,0,20,7,2,1,23,0,0,0
6,3,2,0,1,11,0,45,10,2,3,25,0,0,1
6,3,2,0,1,13,0,37,8,2,1,24,0,0,1
6,3,2,0,1,13,0,6,3,2,2,30,0,0,1
6,3,2,0,1,11,0,2,1,2,1,17,0,0,0
6,3,2,0,1,13,0,18,6,2,1,21,0,0,1
6,3,2,0,3,13,0,84,10,2,3,27,0,0,0
6,3,2,0,1,9,0,90,11,2,1,21,0,0,1
6,3,2,0,1,10,0,20,6,2,1,20,0,0,0
6,3,2,0,3,12,1,40,8,2,3,20,1,0,3
6,3,2,0,1,9,0,12,4,2,1,19,0,0,0
6,3,2,0,1,9,1,48,9,2,3,24,1,0,1
6,3,2,0,3,10,1,24,8,2,1,22,1,0,1
6,3,2,0,1,12,0,14,6,2,1,24,0,0,0
6,3,2,0,1,13,0,5,3,2,3,26,0,0,0
6,3,2,0,1,8,0,40,8,2,1,18,0,0,1
6,3,2,0,1,11,1,21,7,2,1,20,1,0,1
6,3,2,0,1,13,0,14,7,2,1,21,0,0,1
6,3,2,0,1,16,1,8,4,2,1,27,0,0,0
6,3,2,0,3,13,0,66,10,2,1,28,0,0,0
6,3,2,1,1,10,0,2,1,2,6,13,1,2,3
6,3,2,0,1,14,0,25,7,2,2,23,0,0,2
6,3,2,0,1,8,1,20,7,2,1,20,0,0,1
6,3,2,0,1,10,0,24,6,2,1,27,0,0,0
6,3,2,0,1,12,0,18,6,2,1,19,0,0,1
6,3,2,0,1,8,1,13,5,2,1,13,1,0,1
6,3,2,0,3,13,0,12,6,2,2,25,0,0,2
6,3,2,0,1,13,0,40,8,2,1,23,0,0,1
6,3,2,0,1,9,0,45,10,2,1,22,1,0,0
6,3,2,0,1,12,0,54,10,2,1,22,0,0,1
6,3,2,0,1,12,0,12,6,2,1,26,0,1,1
6,3,2,0,1,10,0,26,8,2,1,23,0,0,0
6,3,2,0,1,9,0,52,9,2,1,21,0,0,0
6,3,2,0,1,14,0,8,4,2,3,22,0,0,2
6,3,2,0,1,7,1,10,5,2,3,18,0,1,1
6,3,2,0,1,6,1,28,8,2,1,19,1,0,0
6,3,2,0,3,12,1,15,6,2,2,20,1,0,2
6,3,2,0,5,15,0,18,6,2,1,23,0,0,1
6,3,2,0,1,13,0,40,8,2,5,30,0,0,0
6,3,2,0,5,12,0,25,7,2,3,30,0,0,0
6,3,2,0,1,11,0,180,12,2,1,29,0,0,1
6,3,2,0,1,12,0,8,4,2,3,27,0,0,0
6,3,2,0,1,16,0,20,6,2,3,28,0,0,1
6,3,2,0,1,9,0,36,9,2,1,25,0,0,0
6,3,2,0,1,10,0,8,4,2,1,20,0,0,0
