n,|M(A)|,D_ktA,|M(A)A|,|M(B)|,D_ktB,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
11,8,43,0,8,60,0,8,0,0,0
11,37,50,0,37,37,0,37,0,0,0
11,26,32,0,26,42,0,26,0,0,0
11,360,43,0,360,46,0,360,0,0,0
11,432,34,0,432,48,0,432,0,0,0
11,40,35,0,40,33,0,40,0,0,0
11,32,35,0,32,37,0,32,0,0,0
11,121,49,0,121,33,0,121,0,0,0
11,182,50,0,182,45,0,182,0,0,0
11,98,40,0,98,45,0,98,0,0,0
11,123,34,0,123,29,0,123,0,0,0
11,53,45,0,53,38,0,53,0,0,0
11,50,31,0,50,42,0,50,0,0,0
11,136,45,0,136,53,0,136,0,0,0
11,80,36,0,80,58,0,80,0,0,0
11,47,47,0,47,40,0,47,0,0,0
11,24,55,0,24,44,0,24,0,0,0
11,49,38,0,49,42,0,49,0,0,0
11,193,35,0,193,41,0,193,0,0,0
11,21,52,0,21,39,0,21,0,0,0
11,11,43,0,11,37,0,11,0,0,0
11,24,35,0,24,32,0,24,0,0,0
11,8,48,0,8,39,0,8,0,0,0
11,51,29,0,51,49,0,51,0,0,0
11,768,40,0,768,45,0,768,0,0,0
11,18,42,0,18,48,0,18,0,0,0
11,6,31,0,6,49,0,6,0,0,0
11,441,39,0,441,37,0,441,0,0,0
11,52,46,0,52,45,0,52,1,0,0
11,54,47,0,54,50,0,54,0,0,0
11,53,44,0,53,38,0,53,0,0,0
11,90,53,0,90,36,0,90,0,0,0
11,11,46,0,11,40,0,11,0,0,0
11,24,35,0,24,49,0,24,0,0,0
11,30,58,0,30,38,0,30,0,0,0
11,92,43,0,92,43,0,92,0,0,0
11,18,44,0,18,46,0,18,0,0,0
11,568,36,0,568,41,0,568,0,0,0
11,769,48,0,769,36,0,769,0,0,0
11,593,54,0,593,47,0,593,0,0,0
11,95,42,0,95,32,0,95,0,0,0
11,30,55,0,30,49,1,30,0,0,0
11,27,42,0,27,39,0,27,0,0,0
11,108,39,0,108,46,0,108,0,0,0
11,151,44,0,151,53,0,151,0,0,0
11,96,42,0,96,44,0,96,0,0,0
11,38,51,0,38,47,0,38,0,0,1
11,24,54,0,24,36,0,24,0,0,0
11,34,40,0,34,38,0,34,0,0,0
11,51,42,0,51,45,0,51,0,0,0
11,48,50,0,48,39,0,48,0,0,0
11,81,38,0,81,39,0,81,0,0,0
11,54,50,0,54,37,0,54,0,0,0
11,192,40,0,192,43,0,192,0,0,0
11,480,48,0,480,49,0,480,0,0,0
11,180,47,0,180,41,0,180,0,0,0
11,10,43,0,10,38,0,10,0,0,1
11,326,48,0,326,46,0,326,0,0,0
11,372,41,0,372,52,0,372,0,0,0
11,68,37,0,68,35,0,68,1,0,0
11,2,33,0,2,56,0,2,0,0,0
11,309,56,0,309,44,0,309,0,0,0
11,60,27,0,60,49,0,60,0,0,0
11,190,50,0,190,57,0,190,0,0,1
11,13,57,0,13,38,0,13,0,0,0
11,122,44,0,122,47,0,122,0,0,0
11,24,39,0,24,45,0,24,0,0,0
11,30,34,0,30,46,0,30,0,0,0
11,40,34,0,40,43,0,40,0,0,0
11,216,39,0,216,57,0,216,0,0,0
11,46,48,0,46,41,0,46,0,0,0
11,110,38,0,110,50,0,110,0,0,0
11,606,50,0,606,48,0,606,0,0,0
11,70,48,0,70,49,0,70,0,0,0
11,26,37,0,26,29,0,26,0,0,0
11,36,30,0,36,34,0,36,0,0,0
11,932,36,0,932,55,0,932,0,0,0
11,144,45,0,144,41,0,144,0,0,0
11,46,48,0,46,42,0,46,0,0,0
11,652,42,0,652,36,0,652,0,0,0
11,120,41,0,120,44,0,120,0,0,0
11,4,36,0,4,60,0,4,0,0,0
11,30,33,0,30,39,0,30,0,0,0
11,30,50,0,30,41,0,30,0,0,0
11,80,37,0,80,30,0,80,0,0,0
11,54,48,0,54,55,0,54,0,0,0
11,12,41,0,12,42,0,12,0,0,0
