n,|M(A)|,D_ktA,|M(A)A|,|M(B)|,D_ktB,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
9,6,146,0,6,131,0,6,0,0,3
9,9,128,0,9,146,0,9,0,0,0
9,2,131,0,2,132,0,2,0,0,0
9,2,135,0,2,116,0,2,0,0,0
9,6,119,0,6,139,0,6,0,0,0
9,4,118,0,4,112,0,4,0,0,0
9,3,127,0,3,138,0,3,0,0,0
9,34,143,0,34,122,0,34,0,0,0
9,1,155,0,1,127,0,1,0,0,0
9,2,131,0,2,129,0,2,0,0,0
9,4,138,0,4,125,0,4,0,0,0
9,2,143,0,2,133,0,2,0,0,0
9,1,143,0,1,135,0,1,0,0,0
9,2,123,0,2,139,0,2,0,0,0
9,4,122,0,4,140,0,4,0,0,0
9,2,129,0,2,127,0,2,0,0,0
9,1,124,0,1,145,0,1,0,0,0
9,14,127,0,14,111,0,14,0,0,0
9,3,144,0,3,139,0,3,0,0,2
9,6,144,0,6,136,0,6,0,0,0
9,3,131,0,3,138,0,3,0,0,0
9,24,144,0,24,129,0,24,0,0,0
9,2,133,0,2,129,0,2,0,0,0
9,6,132,0,6,132,0,6,0,0,0
9,21,147,0,21,117,0,21,0,0,0
9,20,158,0,20,114,0,20,0,0,8
9,2,142,0,2,126,0,2,0,0,0
9,3,144,0,3,128,0,3,0,0,0
9,1,130,0,1,122,0,1,0,0,0
9,9,145,0,9,133,0,9,0,0,1
9,1,142,0,1,139,0,1,0,0,0
9,4,117,0,4,134,0,4,0,0,0
9,12,141,0,12,135,0,12,0,0,0
9,1,126,0,1,138,0,1,0,0,0
9,2,151,0,2,147,0,2,0,0,0
9,2,134,0,2,119,0,2,0,0,0
9,2,150,0,2,126,0,2,0,0,0
9,2,129,0,2,155,0,2,0,0,0
9,6,130,0,6,125,0,6,0,0,0
9,21,145,0,21,144,0,21,0,0,0
9,7,146,0,7,147,0,7,0,0,0
9,15,118,0,15,142,0,15,0,0,0
9,2,130,0,2,139,0,2,0,0,0
9,40,118,0,40,134,0,40,0,0,0
9,4,121,0,4,113,0,4,0,0,0
9,19,152,0,19,148,0,19,0,0,0
9,14,138,0,14,130,0,14,0,0,0
9,36,145,0,36,124,0,36,0,0,0
9,1,147,0,1,129,0,1,0,0,0
9,14,154,0,14,122,0,14,0,0,1
9,10,140,0,10,138,0,10,0,0,0
9,4,149,0,4,131,0,4,0,0,0
9,2,131,0,2,154,0,2,0,0,0
9,2,139,0,2,142,0,2,0,0,0
9,10,138,0,10,152,0,10,0,0,0
9,4,141,0,4,116,1,4,0,0,0
9,2,122,0,2,138,0,2,0,0,0
9,9,148,0,9,158,0,9,0,0,0
9,13,145,0,13,136,0,13,0,0,0
9,2,136,0,2,130,0,2,0,0,0
9,4,113,0,4,126,0,4,0,0,0
9,14,133,0,14,108,1,14,0,0,0
9,4,145,0,4,155,0,4,0,0,0
9,3,121,0,3,127,0,3,0,0,0
9,4,126,0,4,143,0,4,0,0,0
9,10,115,0,10,127,0,10,0,0,0
9,1,148,0,1,141,0,1,0,0,0
9,4,125,0,4,113,0,4,0,0,0
9,1,133,0,1,138,0,1,0,0,0
9,3,136,0,3,136,0,3,0,0,1
9,12,116,0,12,140,0,12,0,0,0
9,10,136,0,10,125,0,10,0,0,0
9,4,127,0,4,132,0,4,0,0,0
9,6,137,0,6,138,0,6,0,0,0
9,3,119,0,3,142,0,3,0,0,0
9,4,137,0,4,143,0,4,0,0,3
9,26,140,0,26,136,0,26,0,0,0
9,1,147,0,1,133,0,1,0,0,0
9,23,139,0,23,133,0,23,0,0,0
9,6,135,0,6,133,0,6,0,0,0
9,2,151,0,2,143,0,2,0,0,0
9,1,144,0,1,115,0,1,0,0,0
9,1,130,0,1,126,0,1,0,0,0
9,17,140,0,17,153,0,17,0,0,0
9,1,146,0,1,147,0,1,0,0,0
9,9,125,0,9,134,0,9,0,0,0
9,1,120,0,1,145,0,1,0,0,0
9,1,146,0,1,118,0,1,0,0,0
9,8,143,0,8,128,0,8,0,0,3
9,6,144,0,6,136,1,6,0,0,0
9,2,149,0,2,149,0,2,0,0,0
9,2,133,0,2,139,0,2,0,0,0
9,8,136,0,8,121,0,8,0,0,0
9,4,129,0,4,132,0,4,0,0,0
9,24,132,0,24,122,0,24,0,0,0
9,14,141,0,14,137,0,14,0,0,0
9,14,127,0,14,141,0,14,0,0,0
9,14,148,0,14,136,0,14,0,0,6
9,4,131,0,4,123,0,4,0,0,0
9,5,157,0,5,133,0,5,0,0,2
