n,|M(A)|,D_ktA,|M(A)A|,|M(B)|,D_ktB,|M(B)B|,|M(AUB)|,D_ktaub,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
10,1,37,0,3,48,0,46,101,0,0,0
10,3,39,0,3,35,0,8,100,0,0,0
10,1,29,0,1,34,0,150,93,0,0,0
10,3,25,0,3,34,0,20,69,0,0,0
10,5,24,0,3,36,0,15,81,0,0,0
10,2,29,0,1,30,1,3,76,0,0,0
10,1,34,0,1,37,0,105,94,0,0,0
10,3,35,0,21,41,0,9,101,0,0,0
10,1,35,0,1,31,0,14,84,0,0,0
10,7,40,0,3,32,0,12,89,0,0,0
10,1,13,0,1,27,0,36,57,0,0,1
10,9,34,0,1,45,0,270,99,0,0,0
10,7,45,0,1,41,0,390,110,0,1,0
10,1,42,0,9,43,0,120,110,0,0,0
10,6,43,0,1,40,0,66,100,0,0,0
10,1,38,0,1,29,0,63,75,0,0,1
10,1,27,1,1,17,0,20,61,1,0,1
10,3,39,0,3,37,0,30,93,0,0,0
10,1,44,0,1,37,0,87,94,0,0,1
10,4,50,0,1,31,0,36,105,0,0,1
10,1,31,0,1,30,0,66,88,0,0,0
10,2,43,0,5,37,0,98,97,0,0,0
10,1,32,0,1,31,0,3,75,0,0,0
10,3,41,0,1,38,0,5,105,0,0,0
10,1,23,0,1,40,0,8,75,1,0,0
10,3,40,0,1,38,0,110,110,0,0,0
10,3,39,0,3,33,0,9,86,0,0,0
10,1,44,0,1,32,0,66,101,0,0,0
10,1,34,0,1,45,0,13,106,0,0,0
10,3,43,0,3,46,0,49,104,0,0,0
10,3,31,0,2,36,1,90,83,0,0,2
10,1,31,0,2,39,0,6,93,0,0,0
10,3,42,1,9,52,0,72,106,0,0,0
10,5,45,0,3,29,0,3,96,0,0,0
10,1,24,0,6,38,0,45,80,0,0,0
10,3,38,0,8,37,0,28,84,0,0,1
10,3,42,0,1,33,0,79,92,0,0,0
10,1,42,0,1,36,0,68,104,0,0,0
10,1,39,0,2,28,0,24,82,0,0,0
10,9,34,0,3,35,0,19,88,0,0,0
10,2,33,0,3,46,0,109,101,0,0,0
10,1,35,0,3,27,0,33,70,0,0,0
10,3,39,0,1,27,0,71,89,0,0,0
10,27,30,0,1,35,0,3,83,0,0,0
10,1,38,0,1,32,0,162,92,0,0,0
10,9,34,0,3,34,0,2,85,0,0,0
10,5,39,0,1,38,0,20,103,0,0,0
10,1,47,0,2,36,0,14,92,0,1,1
10,2,44,0,3,34,0,9,106,0,0,0
10,3,42,0,2,44,0,30,100,0,0,0
10,1,38,0,2,40,0,314,97,0,0,1
10,4,40,0,1,44,0,22,96,0,0,0
10,2,39,0,3,36,0,90,90,0,0,0
10,3,33,0,3,47,0,132,92,0,0,3
10,1,30,0,8,41,0,28,92,0,0,0
10,1,32,0,5,34,0,36,89,0,0,0
10,3,34,0,1,36,0,18,86,0,0,0
10,6,32,0,2,31,0,24,80,0,0,0
10,7,41,0,3,38,0,270,98,0,0,0
10,3,41,0,4,41,0,3,94,0,0,0
10,1,28,0,3,30,0,39,83,0,0,0
10,1,23,0,1,34,0,20,86,0,0,0
10,1,42,0,1,38,0,3,104,0,0,0
10,1,39,0,4,44,0,60,92,0,0,1
10,1,32,0,1,32,0,12,83,0,0,0
10,2,46,0,1,32,0,21,100,0,0,0
10,15,35,0,1,44,0,38,90,0,0,0
10,23,49,0,3,32,0,261,105,0,1,1
10,1,35,0,1,34,0,29,89,0,0,0
10,3,30,0,2,38,0,12,88,0,0,0
10,3,31,0,1,28,0,945,103,0,0,0
10,1,37,0,2,38,0,3,94,0,0,0
10,1,34,0,5,37,0,45,102,0,0,0
10,1,45,0,1,34,0,48,92,0,0,1
10,1,32,0,1,25,0,60,84,0,0,0
10,1,30,0,3,32,0,54,85,0,0,0
10,5,32,0,6,45,0,7,91,0,0,0
10,1,34,0,5,34,0,40,84,0,0,1
10,1,26,0,3,34,0,33,84,0,0,0
10,1,29,0,1,36,0,148,105,1,0,0
10,3,28,0,5,27,0,2,69,0,0,0
10,1,37,0,1,28,0,8,89,0,0,0
10,1,35,0,7,43,0,47,95,0,0,0
10,1,29,0,1,24,0,48,84,0,0,0
10,1,36,0,1,33,0,148,92,0,0,0
10,3,37,0,3,37,0,14,104,0,0,0
10,1,40,0,3,28,0,60,94,0,0,0
10,5,48,0,5,38,0,244,99,0,0,0
10,3,34,0,1,46,0,4,99,0,0,0
10,3,36,0,5,41,0,23,94,0,0,0
10,9,40,0,5,42,0,14,99,0,0,0
10,1,28,0,1,38,0,54,84,0,0,0
10,4,35,0,1,38,0,8,91,0,0,0
10,3,43,0,1,46,0,517,106,0,0,0
10,1,36,0,1,41,0,50,92,0,0,0
10,1,26,0,1,36,0,223,84,0,0,0
10,3,34,0,3,35,0,153,91,0,0,0
10,1,37,0,1,39,0,44,99,0,0,0
10,1,34,0,1,36,0,23,82,0,0,0
10,3,37,0,1,30,0,38,93,0,0,0
