n,|M(A)|,D_ktA,|M(A)A|
12,9,116,0
12,1,108,0
12,5,118,0
12,5,99,0
12,6,92,0
12,11,112,0
12,1,118,0
12,9,110,0
12,2,90,0
12,1,99,0
12,1,134,0
12,1,96,0
12,2,95,0
12,2,116,0
12,3,102,0
12,1,100,0
12,1,102,0
12,2,73,0
12,3,100,0
12,4,99,0
12,4,108,0
12,3,99,0
12,12,92,0
12,3,97,0
12,1,116,0
12,1,94,0
12,1,102,0
12,1,113,0
12,5,116,0
12,30,114,0
12,1,105,0
12,1,118,0
12,1,107,0
12,3,88,0
12,3,98,0
12,1,93,0
12,9,97,0
12,1,110,0
12,3,58,0
12,1,100,0
12,1,103,0
12,3,121,0
12,1,100,0
12,1,115,0
12,9,109,0
12,8,121,0
12,8,106,0
12,6,101,0
12,12,114,0
12,1,102,0
12,1,67,0
12,3,114,0
12,1,102,0
12,1,103,0
12,2,112,0
12,1,101,0
12,1,80,0
12,1,108,0
12,2,85,0
12,2,109,0
12,3,100,0
12,1,118,0
12,1,102,0
12,2,81,0
12,3,99,0
12,1,82,0
12,3,94,0
12,3,96,0
12,2,105,0
12,1,111,0
12,1,120,0
12,2,100,0
12,2,103,0
12,4,101,0
12,5,116,0
12,5,82,0
12,3,95,0
12,3,101,0
12,1,92,0
