n,|M(A)|,D_ktA,|M(A)A|
11,33,59,0
11,1,45,0
11,9,39,0
11,1,51,0
11,3,34,0
11,1,42,0
11,1,38,0
11,1,40,0
11,2,49,0
11,5,44,0
11,5,43,0
11,6,47,0
11,1,37,0
11,5,30,0
11,1,43,0
11,1,39,0
11,3,32,0
11,1,46,0
11,1,42,0
11,3,57,0
11,3,48,0
11,1,48,0
11,9,31,0
11,1,45,0
11,3,56,0
11,5,37,0
11,1,47,0
11,1,41,0
11,1,55,0
11,1,39,0
11,1,51,0
11,1,56,0
11,1,38,0
11,9,41,0
11,5,47,0
11,1,43,0
11,1,34,0
11,8,54,0
11,3,39,0
11,5,46,0
11,7,53,0
11,5,44,0
11,4,47,0
11,1,36,0
11,1,38,0
11,1,45,0
11,3,39,0
11,1,39,0
11,1,37,0
11,2,43,0
11,5,49,0
11,1,41,0
11,1,38,0
11,1,46,0
11,4,52,0
11,1,35,0
11,5,56,0
11,2,44,0
11,5,49,0
11,1,57,0
11,1,38,0
11,1,47,0
11,7,45,0
11,1,46,0
11,1,43,0
11,15,57,0
11,1,41,0
11,2,50,0
11,1,48,0
11,2,49,0
11,1,29,0
11,3,34,0
11,1,55,0
11,1,41,0
11,3,42,0
11,5,36,0
11,1,44,0
11,1,60,0
11,1,39,0
11,7,41,0
11,1,30,0
11,11,55,0
11,1,42,0
11,2,47,0
11,5,48,0
11,9,43,0
11,3,29,0
11,1,35,0
11,3,20,0
11,1,42,0
11,1,41,0
11,2,38,0
11,1,36,0
11,3,43,0
11,1,49,0
11,23,51,0
11,1,49,0
11,6,48,0
11,3,47,0
11,1,36,0
